variant,seed,mutation_id,kind,step,iter_seed,guest,tier1_class,global_failures
V6_uniform,1234,2,INSTR_WORD_MOD,70,1234000002,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,75,POST_EXEC_PC_MOD,3756,1234000075,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,107,INSTR_WORD_MOD,2507,1234000107,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,131,POST_EXEC_PC_MOD,3497,1234000131,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,156,POST_EXEC_PC_MOD,2341,1234000156,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,211,INSTR_WORD_MOD,1879,1234000211,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,270,POST_EXEC_PC_MOD,2342,1234000270,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,303,INSTR_WORD_MOD,3415,1234000303,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,322,POST_EXEC_PC_MOD,625,1234000322,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,346,POST_EXEC_PC_MOD,1282,1234000346,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,350,INSTR_WORD_MOD,3384,1234000350,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,391,POST_EXEC_PC_MOD,3494,1234000391,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,407,POST_EXEC_PC_MOD,1056,1234000407,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,461,POST_EXEC_PC_MOD,3371,1234000461,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,492,POST_EXEC_PC_MOD,2382,1234000492,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,588,INSTR_WORD_MOD,1002,1234000588,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,628,INSTR_WORD_MOD,2694,1234000628,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,648,INSTR_WORD_MOD,2920,1234000648,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,667,POST_EXEC_PC_MOD,74,1234000667,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,674,INSTR_WORD_MOD,1288,1234000674,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,701,INSTR_WORD_MOD,1112,1234000701,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,762,POST_EXEC_PC_MOD,3725,1234000762,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,771,INSTR_WORD_MOD,457,1234000771,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,922,POST_EXEC_PC_MOD,372,1234000922,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,942,POST_EXEC_PC_MOD,922,1234000942,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1047,POST_EXEC_PC_MOD,210,1234001047,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1098,POST_EXEC_PC_MOD,324,1234001098,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1189,INSTR_WORD_MOD,1179,1234001189,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1218,POST_EXEC_PC_MOD,1590,1234001218,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1223,INSTR_WORD_MOD,3020,1234001223,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1260,POST_EXEC_PC_MOD,3071,1234001260,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1315,INSTR_WORD_MOD,946,1234001315,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1338,POST_EXEC_PC_MOD,3496,1234001338,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1340,INSTR_WORD_MOD,1811,1234001340,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1377,POST_EXEC_PC_MOD,1874,1234001377,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1387,INSTR_WORD_MOD,1179,1234001387,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1466,POST_EXEC_PC_MOD,2401,1234001466,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1471,INSTR_WORD_MOD,922,1234001471,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1493,POST_EXEC_PC_MOD,248,1234001493,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1512,INSTR_WORD_MOD,3449,1234001512,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1532,POST_EXEC_PC_MOD,2074,1234001532,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1546,POST_EXEC_PC_MOD,2656,1234001546,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1572,POST_EXEC_PC_MOD,3122,1234001572,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1590,INSTR_WORD_MOD,1179,1234001590,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1600,POST_EXEC_PC_MOD,450,1234001600,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1634,POST_EXEC_PC_MOD,2335,1234001634,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1663,INSTR_WORD_MOD,731,1234001663,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1705,POST_EXEC_PC_MOD,3714,1234001705,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1737,INSTR_WORD_MOD,619,1234001737,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1787,POST_EXEC_PC_MOD,1389,1234001787,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1798,POST_EXEC_PC_MOD,1179,1234001798,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1801,POST_EXEC_PC_MOD,318,1234001801,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1831,INSTR_WORD_MOD,354,1234001831,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1842,POST_EXEC_PC_MOD,721,1234001842,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1888,POST_EXEC_PC_MOD,1739,1234001888,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1904,POST_EXEC_PC_MOD,33,1234001904,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,1996,POST_EXEC_PC_MOD,2483,1234001996,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2008,INSTR_WORD_MOD,2063,1234002008,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2031,INSTR_WORD_MOD,439,1234002031,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2048,INSTR_WORD_MOD,613,1234002048,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2056,POST_EXEC_PC_MOD,30,1234002056,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2123,INSTR_WORD_MOD,519,1234002123,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2179,INSTR_WORD_MOD,866,1234002179,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2183,POST_EXEC_PC_MOD,2301,1234002183,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2198,POST_EXEC_PC_MOD,2463,1234002198,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2250,POST_EXEC_PC_MOD,683,1234002250,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2290,POST_EXEC_PC_MOD,218,1234002290,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2293,POST_EXEC_PC_MOD,2916,1234002293,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2330,POST_EXEC_PC_MOD,154,1234002330,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2416,INSTR_WORD_MOD,3186,1234002416,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2422,POST_EXEC_PC_MOD,3636,1234002422,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2448,INSTR_WORD_MOD,2192,1234002448,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2491,INSTR_WORD_MOD,537,1234002491,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2512,POST_EXEC_PC_MOD,3538,1234002512,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2515,POST_EXEC_PC_MOD,2160,1234002515,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2536,POST_EXEC_PC_MOD,2055,1234002536,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2577,POST_EXEC_PC_MOD,3846,1234002577,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2606,POST_EXEC_PC_MOD,3256,1234002606,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2624,POST_EXEC_PC_MOD,421,1234002624,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2637,POST_EXEC_PC_MOD,2065,1234002637,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2638,POST_EXEC_PC_MOD,1388,1234002638,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2708,POST_EXEC_PC_MOD,2914,1234002708,--in1 5 --in4 10,pending_tier2,0
V6_uniform,1234,2712,INSTR_WORD_MOD,596,1234002712,--in1 5 --in4 10,pending_tier2,0
