variant,seed,mutation_id,kind,step,iter_seed,local_failures,global_failures
V6_uniform,1234,2,INSTR_WORD_MOD,70,1234000002,0,0
V6_uniform,1234,75,POST_EXEC_PC_MOD,3756,1234000075,0,0
V6_uniform,1234,107,INSTR_WORD_MOD,2507,1234000107,0,0
V6_uniform,1234,131,POST_EXEC_PC_MOD,3497,1234000131,0,0
V6_uniform,1234,156,POST_EXEC_PC_MOD,2341,1234000156,0,0
V6_uniform,1234,211,INSTR_WORD_MOD,1879,1234000211,0,0
V6_uniform,1234,270,POST_EXEC_PC_MOD,2342,1234000270,0,0
V6_uniform,1234,303,INSTR_WORD_MOD,3415,1234000303,0,0
V6_uniform,1234,322,POST_EXEC_PC_MOD,625,1234000322,0,0
V6_uniform,1234,346,POST_EXEC_PC_MOD,1282,1234000346,0,0
V6_uniform,1234,350,INSTR_WORD_MOD,3384,1234000350,0,0
V6_uniform,1234,391,POST_EXEC_PC_MOD,3494,1234000391,0,0
V6_uniform,1234,407,POST_EXEC_PC_MOD,1056,1234000407,0,0
V6_uniform,1234,461,POST_EXEC_PC_MOD,3371,1234000461,0,0
V6_uniform,1234,492,POST_EXEC_PC_MOD,2382,1234000492,0,0
V6_uniform,1234,588,INSTR_WORD_MOD,1002,1234000588,0,0
V6_uniform,1234,628,INSTR_WORD_MOD,2694,1234000628,0,0
V6_uniform,1234,648,INSTR_WORD_MOD,2920,1234000648,0,0
V6_uniform,1234,667,POST_EXEC_PC_MOD,74,1234000667,0,0
V6_uniform,1234,674,INSTR_WORD_MOD,1288,1234000674,0,0
V6_uniform,1234,701,INSTR_WORD_MOD,1112,1234000701,0,0
V6_uniform,1234,762,POST_EXEC_PC_MOD,3725,1234000762,0,0
V6_uniform,1234,771,INSTR_WORD_MOD,457,1234000771,0,0
V6_uniform,1234,922,POST_EXEC_PC_MOD,372,1234000922,0,0
V6_uniform,1234,942,POST_EXEC_PC_MOD,922,1234000942,0,0
V6_uniform,1234,1047,POST_EXEC_PC_MOD,210,1234001047,0,0
V6_uniform,1234,1098,POST_EXEC_PC_MOD,324,1234001098,0,0
V6_uniform,1234,1189,INSTR_WORD_MOD,1179,1234001189,0,0
V6_uniform,1234,1218,POST_EXEC_PC_MOD,1590,1234001218,0,0
V6_uniform,1234,1223,INSTR_WORD_MOD,3020,1234001223,0,0
V6_uniform,1234,1260,POST_EXEC_PC_MOD,3071,1234001260,0,0
V6_uniform,1234,1315,INSTR_WORD_MOD,946,1234001315,0,0
V6_uniform,1234,1338,POST_EXEC_PC_MOD,3496,1234001338,0,0
V6_uniform,1234,1340,INSTR_WORD_MOD,1811,1234001340,0,0
V6_uniform,1234,1377,POST_EXEC_PC_MOD,1874,1234001377,0,0
V6_uniform,1234,1387,INSTR_WORD_MOD,1179,1234001387,0,0
V6_uniform,1234,1466,POST_EXEC_PC_MOD,2401,1234001466,0,0
V6_uniform,1234,1471,INSTR_WORD_MOD,922,1234001471,0,0
V6_uniform,1234,1493,POST_EXEC_PC_MOD,248,1234001493,0,0
V6_uniform,1234,1512,INSTR_WORD_MOD,3449,1234001512,0,0
V6_uniform,1234,1532,POST_EXEC_PC_MOD,2074,1234001532,0,0
V6_uniform,1234,1546,POST_EXEC_PC_MOD,2656,1234001546,0,0
V6_uniform,1234,1572,POST_EXEC_PC_MOD,3122,1234001572,0,0
V6_uniform,1234,1590,INSTR_WORD_MOD,1179,1234001590,0,0
V6_uniform,1234,1600,POST_EXEC_PC_MOD,450,1234001600,0,0
V6_uniform,1234,1634,POST_EXEC_PC_MOD,2335,1234001634,0,0
V6_uniform,1234,1663,INSTR_WORD_MOD,731,1234001663,0,0
