variant,selector,seed,db_path,local_context_final,local_coverage_v2_final,local_context_AUC,time_to_40,time_to_43,time_to_46,all_46_hit,compressed_global_context_final,crash_rate,no_effect_rate,allocation_entropy_by_kind,allocation_entropy_by_zone,novel_locs_vs_v1,novel_locs_names_vs_v1,n_mutations,novel_locs_union_vs_v1
V1,zoned,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,45,593,245159.0,1245.0,2530.0,,False,147,0.012,0.0,2.999197336703282,2.222207974345173,0,,6000,0
V1,zoned,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,44,574,220307.5,4520.0,4951.0,,False,155,0.010666666666666666,0.0,2.9978989260853375,2.2086512208178295,0,,6000,0
V1,zoned,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/goracle/pos_iv_pos_7_ta_b1_zoned_seed1236_n6000.db,43,555,233922.5,1559.0,3861.0,,False,138,0.011833333333333333,0.0,2.9985509714322527,2.210156867186339,0,,6000,0
V1,zoned,1237,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/zone/pos_iv_pos_7_ta_b1_zoned_seed1237_n6000.db,42,569,222953.0,3785.0,,,False,155,0.01,0.0,2.998940328873794,2.194287442898577,0,,6000,0
V1,zoned,1238,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000/pos_iv_pos_7_ta_b2_zoned_seed1238_n6000.db,43,533,230740.5,2204.0,4520.0,,False,137,0.011166666666666667,0.0,2.9993283618825495,2.203602647920019,0,,6000,0
V1,zoned,1239,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000/pos_iv_pos_7_ta_b2_zoned_seed1239_n6000.db,44,562,234140.0,2555.0,4355.0,,False,144,0.011333333333333334,0.0,2.999512930915096,2.1923853794462165,0,,6000,0
V1,zoned,1240,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000/pos_iv_pos_7_ta_b2_zoned_seed1240_n6000.db,43,546,225963.5,2979.0,5978.0,,False,144,0.009666666666666667,0.0,2.998974056132658,2.2052818209933944,0,,6000,0
V1,zoned,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000/pos_iv_pos_7_ta_b2_zoned_seed1241_n6000.db,42,565,227244.0,4666.0,,,False,145,0.0115,0.0,2.9993874477776283,2.184086987951391,0,,6000,0
V1,zoned,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000/pos_iv_pos_7_ta_b3_zoned_seed1242_n6000.db,42,568,217150.0,4556.0,,,False,137,0.011666666666666667,0.0,2.9994434655771554,2.213040645000644,0,,6000,0
V1,zoned,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000/pos_iv_pos_7_ta_b3_zoned_seed1243_n6000.db,41,591,223843.0,4002.0,,,False,140,0.010166666666666666,0.0,2.9996237056345354,2.1843613600851697,0,,6000,0
V2,kindUCB_zoned_v1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_03-00-16_498814/flare/pos_iv_pos_7_ts_b1_kindUCB_zoned_v1_seed1234_n6000.db,32,287,168865.0,,,,False,88,0.0003333333333333333,0.0,0.9433953762828781,2.0834072017988543,0,,6000,0
V2,kindUCB_zoned_v1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-21_698342/flare/pos_iv_pos_7_ts_b2_kindUCB_zoned_v1_seed1235_n6000.db,34,285,192641.0,,,,False,87,0.0006666666666666666,0.0,0.8790508069168805,2.089921816271478,0,,6000,0
V2,kindUCB_zoned_v1,1236,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b3_kindUCB_zoned_v1_seed1236_n6000/pos_iv_pos_7_ts_b3_kindUCB_zoned_v1_seed1236_n6000.db,30,300,171710.5,,,,False,89,0.0005,0.0,0.9845603327441325,2.080334592009147,0,,6000,0
