variant,seed,db_path,kind,current_reward,no_qloc_reward,discovery_binary_reward,compressed_global_reward,n
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,COMP_OUT_MOD,5.929021306735315e-05,0.19663022894316334,0.020491803278688523,0.00019362615397965213,732
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,INSTR_TYPE_MOD,0.1682380044671732,0.17932125772012134,0.26975476839237056,0.0043932288637892275,734
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,INSTR_WORD_MOD_FULL,0.0066501633365711205,0.1987416887404428,0.05,0.001801127361532685,720
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,INSTR_WORD_MOD_SUR,0.005512346511293435,0.2251274234825209,0.03768506056527591,0.0018407521839301293,743
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,LOAD_VAL_MOD,-0.01245941120458505,0.18841033935450385,0.0038510911424903724,0.00018194395983710574,779
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,MEM_VAL_MOD,0.008981195427262606,0.19824680460622038,0.06589147286821706,0.002145523110613382,774
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,PRE_EXEC_REG_MOD,-0.027026826987584157,0.19055749149163398,0.06456043956043957,0.002503376176921863,728
V1,1234,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/algofi/pos_iv_pos_7_ta_b1_zoned_seed1234_n6000.db,STORE_OUT_MOD,-0.012402732758008541,0.18732498940124406,0.0037974683544303796,0.00017941056292798148,790
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,COMP_OUT_MOD,-0.0031310977855628047,0.1959487669641611,0.016506189821182942,9.747891658397893e-05,727
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,INSTR_TYPE_MOD,0.15953191266900302,0.17471644567219524,0.2535211267605634,0.004949409333436872,710
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,INSTR_WORD_MOD_FULL,0.011718587556920642,0.20018252666762767,0.055693069306930694,0.002113391839137175,808
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,INSTR_WORD_MOD_SUR,0.006176157846453144,0.22509633484807107,0.04297994269340974,0.0017303117049423348,698
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,LOAD_VAL_MOD,-0.013340337776211774,0.1882671727527893,0.002789400278940028,0.00019767691033905908,717
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,MEM_VAL_MOD,0.012202957276386203,0.1975117143660759,0.05613577023498695,0.002049189413559989,766
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,PRE_EXEC_REG_MOD,-0.021861488536058318,0.19300313817075465,0.06788511749347259,0.0023791878026098124,766
V1,1235,/root/arguzz/a4/runs/iv_pos_7/dbs/2026-06-14_08-42-25_695151/gard/pos_iv_pos_7_ta_b1_zoned_seed1235_n6000.db,STORE_OUT_MOD,-0.013032521054277059,0.18725074341415593,0.0037128712871287127,0.00017541379296176406,808
